claim_id,claim_text,category,value_or_figure,source_type,source_detail,confidence,stage_safe,notes
ST-01,Interest rate for nsfdc.suvidha is 8.0% per annum (reducing balance),RATE,8.0,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-02,Tenure for nsfdc.suvidha is 60 months,TIMELINE,60,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-03,Moratorium for nsfdc.suvidha is 6 months,TIMELINE,6,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-04,Maximum loan under nsfdc.suvidha is Rs 900000,ELIGIBILITY,900000,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-05,Interest rate for nsfdc.micro_credit is 6.5% per annum (reducing balance),RATE,6.5,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-06,Tenure for nsfdc.micro_credit is 36 months,TIMELINE,36,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-07,Moratorium for nsfdc.micro_credit is 3 months,TIMELINE,3,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-08,Maximum loan under nsfdc.micro_credit is Rs 125000,ELIGIBILITY,125000,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-09,Interest rate for nsfdc.mahila_samriddhi is 6.0% per annum (reducing balance),RATE,6.0,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-10,Tenure for nsfdc.mahila_samriddhi is 36 months,TIMELINE,36,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-11,Moratorium for nsfdc.mahila_samriddhi is 3 months,TIMELINE,3,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-12,Maximum loan under nsfdc.mahila_samriddhi is Rs 125000,ELIGIBILITY,125000,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-13,Interest rate for nsfdc.laghu_vyavsay is 6.0% per annum (reducing balance),RATE,6.0,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-14,Tenure for nsfdc.laghu_vyavsay is 72 months,TIMELINE,72,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-15,Moratorium for nsfdc.laghu_vyavsay is 6 months,TIMELINE,6,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-16,Maximum loan under nsfdc.laghu_vyavsay is Rs 200000,ELIGIBILITY,200000,VERIFIED_PUBLISHED,"finance.py header comment; PS 26092 discovery report; independently corroborated by shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: upgraded from MEDIUM/YES_WITH_CAVEAT. The same figure appears in Pair A's seed data, hand-verified against the live NSFDC page on 2026-09-03, and docs/MVP_BUILD_PLAN.md:57 quotes the rates from the report. Cite the scheme URL in the matching ST-URL row."
ST-URL-01,The source page for nsfdc.suvidha is https://nsfdc.nic.in/en/suvidha-loan,TECHNICAL_CLAIM,https://nsfdc.nic.in/en/suvidha-loan,VERIFIED_PUBLISHED,"shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: previously logged as an invented slug that must never be cited. A verified URL for this scheme exists in shared/seed_schemes.json (Pair A, checked against the live page 2026-09-03), and finance.py's comment now carries it. Pair B's original guessed slug for this scheme was WRONG (/en/suvidha vs the real /en/suvidha-loan) and has been corrected."
ST-URL-02,The source page for nsfdc.micro_credit is https://nsfdc.nic.in/en/micro-credit-finance,TECHNICAL_CLAIM,https://nsfdc.nic.in/en/micro-credit-finance,VERIFIED_PUBLISHED,"shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: previously logged as an invented slug that must never be cited. A verified URL for this scheme exists in shared/seed_schemes.json (Pair A, checked against the live page 2026-09-03), and finance.py's comment now carries it. Pair B's original guessed slug happened to match the verified URL exactly."
ST-URL-03,The source page for nsfdc.mahila_samriddhi is https://nsfdc.nic.in/en/mahila-samriddhi-yojana,TECHNICAL_CLAIM,https://nsfdc.nic.in/en/mahila-samriddhi-yojana,VERIFIED_PUBLISHED,"shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: previously logged as an invented slug that must never be cited. A verified URL for this scheme exists in shared/seed_schemes.json (Pair A, checked against the live page 2026-09-03), and finance.py's comment now carries it. Pair B's original guessed slug happened to match the verified URL exactly."
ST-URL-04,The source page for nsfdc.laghu_vyavsay is https://nsfdc.nic.in/en/laghu-vyavsay-yojana,TECHNICAL_CLAIM,https://nsfdc.nic.in/en/laghu-vyavsay-yojana,VERIFIED_PUBLISHED,"shared/seed_schemes.json (Pair A) _note: 'Hand-written, verified against live pages on 2026-09-03'",HIGH,YES,"CORRECTED 2026-09-05: previously logged as an invented slug that must never be cited. A verified URL for this scheme exists in shared/seed_schemes.json (Pair A, checked against the live page 2026-09-03), and finance.py's comment now carries it. Pair B's original guessed slug happened to match the verified URL exactly."
CT-CAPEX-01,tailoring_unit: capex 'Sewing machine (motorised)' unit cost Rs 18000 (qty 2),FEE_OR_COST,18000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-02,tailoring_unit: capex 'Overlock machine' unit cost Rs 22000 (qty 1),FEE_OR_COST,22000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
CT-CAPEX-03,tailoring_unit: capex 'Cutting table and furniture' unit cost Rs 12000 (qty 1),FEE_OR_COST,12000,ESTIMATED,Placeholder written by Pair B in cost_templates.py; marked '# ESTIMATE' inline,LOW,NO,"Unsourced placeholder chosen only for order-of-magnitude plausibility so the pipeline could be demonstrated. Not from any published KVIC/NABARD model profile. Do not state this figure as a real cost. docs/ARCHITECTURE.md:366 lists scraping 30-50 real KVIC/NABARD profiles as the 'Highest-leverage work in the whole build', warning that without it 'Sanction-Ready is a template with invented numbers - the one weakness a domain judge finds in thirty seconds'. That task was not done."
